2025-11-27 19:40:09,095 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:40:11,100 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:40:13,108 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:40:15,105 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:40:17,122 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:40:19,114 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:40:21,112 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:40:23,126 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:40:25,138 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:40:27,152 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:40:29,165 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:40:31,166 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:40:33,148 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:40:35,164 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:40:37,175 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:40:39,200 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:40:41,215 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:40:43,223 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:40:45,246 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:40:47,229 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:40:49,235 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:40:51,261 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:40:53,275 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:40:55,280 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:40:57,283 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:40:59,292 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:41:01,290 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:41:03,305 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:41:05,316 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:41:07,325 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:41:09,336 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:41:11,353 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:41:13,361 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:41:15,383 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:41:17,401 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:41:19,398 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:41:21,409 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:41:23,426 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:41:25,451 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:41:27,468 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:41:29,467 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:41:31,477 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:41:33,495 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:41:35,501 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:41:37,530 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:41:39,540 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:41:41,532 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:41:43,540 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:41:45,541 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:41:47,542 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:41:49,537 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:41:51,545 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:41:53,538 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:41:55,543 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:41:57,532 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:41:59,550 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:42:01,569 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:42:03,571 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:42:05,571 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:42:07,592 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:42:09,590 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:42:11,609 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:42:13,616 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:42:15,623 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:42:17,612 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:42:19,618 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:42:21,630 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:42:23,648 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:42:25,653 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:42:27,653 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:42:29,647 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:42:31,664 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:42:33,664 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:42:35,671 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:42:37,686 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:42:39,702 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:42:41,691 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:42:43,696 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:42:45,708 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:42:47,723 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:42:49,731 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:42:51,729 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:42:53,723 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:42:55,723 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:42:57,733 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:42:59,733 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:43:01,744 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:43:03,748 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:43:05,747 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:43:07,751 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:43:09,753 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:43:11,764 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:43:13,756 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:43:15,754 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:43:17,758 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:43:19,771 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:43:21,794 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:43:23,798 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:43:25,801 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:43:27,806 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:43:29,813 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:43:31,822 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:43:33,844 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:43:35,868 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:43:37,875 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:43:39,863 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:43:41,870 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:43:43,874 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:43:45,864 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:43:47,889 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:43:49,886 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:43:51,903 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:43:53,896 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:43:55,916 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:43:57,911 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:43:59,910 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:44:01,920 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:44:03,918 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:44:05,909 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:44:07,919 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:44:09,901 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:44:11,911 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:44:13,921 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:44:15,941 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:44:17,945 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:44:19,956 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:44:21,971 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:44:23,993 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:44:25,986 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:44:28,006 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:44:30,014 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:44:32,017 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:44:34,036 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:44:36,035 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:44:38,051 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:44:40,069 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:44:42,071 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:44:44,072 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:44:46,085 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:44:48,094 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:44:50,111 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:44:52,115 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:44:54,124 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:44:56,145 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:44:58,154 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
2025-11-27 19:45:00,148 - Mode: Latency too high, Action: reduce_batch, Reason: Latency too high, reducing batch size
